iter	Passed	Remaining
0	0	207
1	0	211
2	0	198
3	0	187
4	0	184
5	1	183
6	1	188
7	1	185
8	1	179
9	1	175
10	1	170
11	2	174
12	2	172
13	2	173
14	2	176
15	2	179
16	3	178
17	3	178
18	3	178
19	3	176
20	3	174
21	3	176
22	4	175
23	4	176
24	4	178
25	4	178
26	4	179
27	5	178
28	5	179
29	5	180
30	5	178
31	5	178
32	6	179
33	6	178
34	6	177
35	6	180
36	6	178
37	7	178
38	7	177
39	7	180
40	7	181
41	8	182
42	8	184
43	8	184
44	8	184
45	8	185
46	9	184
47	9	184
48	9	183
49	9	182
50	9	181
51	9	181
52	10	179
53	10	179
54	10	179
55	10	180
56	10	179
57	11	179
58	11	179
59	11	178
60	11	177
61	11	177
62	11	177
63	12	176
64	12	175
65	12	175
66	12	174
67	12	174
68	12	174
69	13	173
70	13	173
71	13	172
72	13	172
73	13	171
74	13	171
75	14	170
76	14	171
77	14	170
78	14	170
79	14	170
80	14	170
81	15	169
82	15	169
83	15	169
84	15	168
85	15	168
86	16	168
87	16	168
88	16	168
89	16	167
90	16	167
91	16	166
92	17	166
93	17	166
94	17	166
95	17	167
96	17	167
97	18	167
98	18	167
99	18	167
100	18	167
101	18	167
102	19	166
103	19	167
104	19	167
105	19	166
106	19	166
107	20	166
108	20	166
109	20	165
110	20	165
111	20	164
112	21	165
113	21	164
114	21	164
115	21	163
116	21	163
117	21	163
118	22	163
119	22	163
120	22	163
121	22	162
122	22	162
123	22	162
124	23	162
125	23	162
126	23	162
127	23	161
128	24	162
129	24	162
130	24	162
131	24	162
132	24	162
133	25	162
134	25	161
135	25	161
136	25	161
137	25	161
138	25	161
139	26	161
140	26	160
141	26	160
142	26	160
143	26	159
144	27	159
145	27	159
146	27	159
147	27	159
148	27	159
149	28	159
150	28	159
151	28	159
152	28	159
153	29	159
154	29	159
155	29	159
156	29	159
157	29	158
158	30	158
159	30	158
160	30	158
161	30	158
162	30	158
163	31	158
164	31	158
165	31	158
166	31	158
167	31	158
168	32	158
169	32	158
170	32	157
171	32	157
172	32	157
173	33	157
174	33	157
175	33	157
176	33	157
177	34	157
178	34	156
179	34	156
180	34	156
181	34	156
182	35	157
183	35	157
184	35	157
185	35	157
186	36	156
187	36	156
188	36	156
189	36	156
190	36	156
191	37	156
192	37	156
193	37	156
194	37	156
195	38	156
196	38	155
197	38	155
198	38	155
199	38	155
200	39	155
201	39	155
202	39	155
203	39	155
204	40	155
205	40	155
206	40	155
207	40	155
208	41	155
209	41	155
210	41	155
211	41	155
212	41	154
213	42	154
214	42	154
215	42	154
216	42	154
217	43	154
218	43	154
219	43	154
220	43	154
221	44	154
222	44	154
223	44	154
224	44	154
225	45	154
226	45	154
227	45	154
228	45	153
229	45	153
230	46	153
231	46	153
232	46	153
233	46	153
234	47	153
235	47	153
236	47	153
237	47	152
238	47	152
239	48	152
240	48	152
241	48	152
242	48	152
243	49	152
244	49	152
245	49	151
246	49	151
247	50	151
248	50	151
249	50	151
250	50	151
251	50	151
252	51	151
253	51	150
254	51	150
255	51	150
256	52	150
257	52	150
258	52	150
259	52	150
260	53	150
261	53	150
262	53	149
263	53	149
264	53	149
265	54	149
266	54	149
267	54	149
268	54	149
269	55	149
270	55	149
271	55	149
272	56	149
273	56	149
274	56	149
275	56	149
276	57	149
277	57	149
278	57	148
279	57	148
280	58	148
281	58	148
282	58	148
283	58	148
284	59	148
285	59	147
286	59	147
287	59	147
288	59	147
289	60	147
290	60	147
291	60	147
292	60	147
293	61	146
294	61	146
295	61	146
296	61	146
297	62	146
298	62	146
299	62	145
300	62	145
301	62	145
302	63	145
303	63	145
304	63	145
305	63	145
306	64	144
307	64	144
308	64	144
309	64	144
310	65	144
311	65	144
312	65	143
313	65	143
314	66	143
315	66	143
316	66	143
317	66	143
318	67	143
319	67	142
320	67	142
321	67	142
322	68	142
323	68	142
324	68	142
325	68	142
326	69	142
327	69	142
328	69	141
329	69	141
330	70	141
331	70	141
332	70	141
333	70	141
334	70	140
335	71	140
336	71	140
337	71	140
338	71	140
339	72	139
340	72	139
341	72	139
342	72	139
343	73	139
344	73	139
345	73	138
346	73	138
347	73	138
348	74	138
349	74	138
350	74	138
351	74	137
352	75	137
353	75	137
354	75	137
355	75	137
356	76	136
357	76	136
358	76	136
359	76	136
360	76	136
361	77	136
362	77	135
363	77	135
364	77	135
365	78	135
366	78	135
367	78	134
368	78	134
369	78	134
370	79	134
371	79	134
372	79	133
373	79	133
374	80	133
375	80	133
376	80	133
377	81	133
378	81	133
379	81	133
380	81	132
381	82	132
382	82	132
383	82	132
384	82	132
385	82	131
386	83	131
387	83	131
388	83	131
389	83	131
390	84	131
391	84	130
392	84	130
393	84	130
394	85	130
395	85	130
396	85	129
397	85	129
398	85	129
399	86	129
400	86	129
401	86	128
402	86	128
403	87	128
404	87	128
405	87	128
406	87	128
407	88	127
408	88	127
409	88	127
410	88	127
411	88	127
412	89	126
413	89	126
414	89	126
415	89	126
416	90	126
417	90	125
418	90	125
419	90	125
420	91	125
421	91	125
422	91	124
423	91	124
424	91	124
425	92	124
426	92	124
427	92	124
428	93	124
429	93	123
430	93	123
431	93	123
432	94	123
433	94	123
434	94	122
435	94	122
436	95	122
437	95	122
438	95	122
439	95	121
440	96	121
441	96	121
442	96	121
443	96	121
444	96	120
445	97	120
446	97	120
447	97	120
448	97	120
449	98	119
450	98	119
451	98	119
452	98	119
453	99	119
454	99	118
455	99	118
456	99	118
457	100	118
458	100	118
459	100	117
460	100	117
461	100	117
462	101	117
463	101	117
464	101	116
465	101	116
466	102	116
467	102	116
468	102	116
469	102	115
470	103	115
471	103	115
472	103	115
473	103	115
474	103	114
475	104	114
476	104	114
477	104	114
478	104	114
479	105	113
480	105	113
481	105	113
482	105	113
483	106	113
484	106	112
485	106	112
486	106	112
487	107	112
488	107	112
489	107	111
490	107	111
491	108	111
492	108	111
493	108	111
494	108	110
495	108	110
496	109	110
497	109	110
498	109	110
499	109	109
500	110	109
501	110	109
502	110	109
503	110	109
504	111	108
505	111	108
506	111	108
507	111	108
508	111	108
509	112	107
510	112	107
511	112	107
512	112	107
513	113	106
514	113	106
515	113	106
516	113	106
517	114	106
518	114	105
519	114	105
520	114	105
521	114	105
522	115	105
523	115	104
524	115	104
525	115	104
526	116	104
527	116	104
528	116	103
529	116	103
530	117	103
531	117	103
532	117	103
533	117	102
534	118	102
535	118	102
536	118	102
